index,Cust ID,Gender,Age,Age Group,Date,Month,Status,Channel,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,1029312,Women,44,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,FALSE
2,2183842,Women,29,Teenager,04-12-2022,Dec,Delivered,Ajio,Set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,FALSE
3,1641533,Women,67,Senior,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,FALSE
4,7490807,Women,20,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,FALSE
5,9293516,Women,62,Senior,04-12-2022,Dec,Delivered,Myntra,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,FALSE
6,1298130,Men,49,Adult,04-12-2022,Dec,Delivered,Flipkart,Western Dress,XXL,1,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,FALSE
7,1298130,Women,23,Teenager,04-12-2022,Dec,Delivered,Meesho,kurta,XXL,1,INR,735,BENGALURU,KARNATAKA,560029,IN,FALSE
8,5561216,Women,70,Senior,04-12-2022,Dec,Delivered,Others,kurta,M,1,INR,435,GURUGRAM,HARYANA,122001,IN,FALSE
9,2935263,Women,75,Senior,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,385,BENGALURU,KARNATAKA,562149,IN,FALSE
10,2648970,Women,43,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,L,1,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,FALSE
11,2648970,Women,76,Senior,04-12-2022,Dec,Delivered,Amazon,kurta,S,1,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE
12,2648970,Women,45,Adult,04-12-2022,Dec,Delivered,Myntra,Top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,FALSE
13,265357,Women,18,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,FALSE
14,9268874,Men,44,Adult,04-12-2022,Dec,Delivered,Myntra,Set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,FALSE
15,442660,Women,52,Senior,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,FALSE
16,7482261,Women,18,Teenager,04-12-2022,Dec,Delivered,Nalli,Top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,FALSE
17,7039962,Men,30,Adult,04-12-2022,Dec,Delivered,Meesho,Set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,FALSE
18,3422488,Women,48,Adult,04-12-2022,Dec,Delivered,Others,Set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,FALSE
19,8974687,Men,24,Teenager,04-12-2022,Dec,Delivered,Myntra,Western Dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,FALSE
20,244536,Women,46,Adult,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,FALSE
21,4376789,Women,43,Adult,04-12-2022,Dec,Delivered,Nalli,Set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,FALSE
22,1943310,Men,31,Adult,04-12-2022,Dec,Refunded,Myntra,Western Dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,FALSE
23,950590,Men,30,Adult,04-12-2022,Dec,Delivered,Myntra,Set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,FALSE
24,3935670,Women,19,Teenager,04-12-2022,Dec,Delivered,Ajio,Set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,FALSE
25,398999,Women,37,Adult,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,612,HYDERABAD,TELANGANA,500060,IN,FALSE
26,5438780,Women,37,Adult,04-12-2022,Dec,Delivered,Others,kurta,XXL,1,INR,533,INDORE,MADHYA PRADESH,452014,IN,FALSE
27,8343960,Women,62,Senior,04-12-2022,Dec,Delivered,Flipkart,Top,XL,1,INR,484,DAVANAGERE,KARNATAKA,577004,IN,FALSE
28,986513,Men,20,Teenager,04-12-2022,Dec,Delivered,Flipkart,Set,3XL,1,INR,563,RUDRAPUR,UTTARAKHAND,263153,IN,FALSE
29,947452,Men,77,Senior,04-12-2022,Dec,Delivered,Flipkart,Western Dress,XXL,1,INR,735,CHENNAI,TAMIL NADU,600103,IN,FALSE
